Date,Open,High,Low,Close,Volume,Range,Return_%,H>=L,Valid_Range,EMH,EML,ExpRange
2025-05-28,21480.0,21567.5,21321.25,21379.75,415837,246.25,-0.3762726870296551,True,True,21702.75,21194.0,508.75
2025-05-29,21513.0,21858.75,21301.0,21408.5,559285,557.75,0.1344730410785866,True,True,21734.25,21256.5,477.75
2025-05-30,21371.25,21433.5,21071.5,21376.75,542354,362.0,-0.1483055795595156,True,True,21615.25,21090.0,525.25
2025-06-02,21303.75,21576.25,21163.0,21534.5,428279,413.25,0.7379512788426634,True,True,21535.75,21022.5,513.25
2025-06-03,21555.0,21759.75,21399.25,21706.0,419063,360.5,0.7963964800668633,True,True,21797.0,21248.5,548.5
2025-06-04,21688.25,21803.0,21641.0,21766.5,396186,162.0,0.2787247765594802,True,True,21931.0,21390.0,541.0
2025-06-05,21744.75,21935.0,21503.5,21582.25,581110,431.5,-0.8464842762961444,True,True,21972.0,21446.5,525.5
2025-06-06,21471.0,21873.5,21471.0,21789.5,460119,402.5,0.9602798596068496,True,True,21698.25,21190.25,508.0
2025-06-09,21799.25,21890.75,21716.0,21821.5,350758,174.75,0.1468597260148252,True,True,22032.0,21518.5,513.5
2025-06-10,21824.0,21992.25,21732.0,21962.5,429182,260.25,0.6461517310909048,True,True,22037.25,21543.25,494.0
2025-06-11,21945.75,22106.0,21790.75,21887.5,509302,315.25,-0.3414911781445595,True,True,22154.0,21608.5,545.5
2025-06-12,21871.0,21977.25,21713.25,21932.5,378433,264.0,0.2055968018275234,True,True,22079.25,21616.5,462.75
2025-06-13,21909.0,21915.75,21471.0,21644.25,483935,444.75,-1.314259660321437,True,True,22107.5,21654.5,453.0
2025-06-16,21554.0,21999.5,21501.75,21941.5,169373,497.75,1.373343959712159,True,True,21738.75,21283.25,455.5
2025-06-17,21950.0,21952.0,21685.0,21730.5,92691,267.0,-0.9616480185948961,True,True,22150.25,21679.25,471.0
2025-06-18,21705.0,21872.5,21640.5,21720.25,72526,232.0,-0.04716872598421462,True,True,21923.25,21456.5,466.75
2025-06-19,21731.0,21733.0,21435.5,21484.75,12162,297.5,-1.084241663885088,True,True,21939.25,21497.75,441.5
2025-06-20,21748.25,22130.5,21745.75,21844.75,515500,384.75,1.675607116675781,True,True,21943.25,21522.5,420.75
2025-06-23,21648.25,22093.0,21566.75,22073.5,542433,526.25,1.047162361665843,True,True,21872.0,21422.5,449.5
2025-06-24,22079.0,22448.25,22065.75,22412.75,441302,382.5,1.536910775364131,True,True,22339.0,21853.25,485.75
2025-06-25,22412.0,22548.25,22384.5,22461.0,390111,163.75,0.2152792495343059,True,True,22672.0,22182.75,489.25
2025-06-26,22461.25,22694.0,22437.75,22669.25,403575,256.25,0.927162637460488,True,True,22710.0,22232.0,478.0
2025-06-27,22676.25,22825.5,22600.0,22751.5,469923,225.5,0.3628262955325035,True,True,22914.5,22484.0,430.5
2025-06-30,22751.5,22934.75,22751.5,22893.25,424770,183.25,0.6230358437905092,True,True,22963.25,22559.25,404.0
2025-07-01,22867.5,22914.75,22594.5,22692.75,483200,320.25,-0.875804003363434,True,True,23068.25,22664.75,403.5
2025-07-02,22694.5,22858.75,22582.0,22843.0,402342,276.75,0.6621057386169582,True,True,22901.5,22484.0,417.5
2025-07-03,22845.0,23102.5,22827.0,23062.5,264660,275.5,0.9609070612441428,True,True,23049.75,22626.75,423.0
2025-07-04,23059.25,23062.5,22882.0,22906.75,72500,180.5,-0.6753387533875332,True,True,23254.5,22841.0,413.5
2025-07-07,22970.0,23028.5,22779.75,22884.75,458601,248.75,-0.09604155980224016,True,True,23142.0,22799.25,342.75
2025-07-08,22837.75,22972.75,22808.5,22896.75,417034,164.25,0.05243666633893973,True,True,22994.75,22667.5,327.25
2025-07-09,22906.5,23112.0,22843.5,23052.75,444792,268.5,0.6813194012250667,True,True,23063.75,22736.25,327.5
2025-07-10,23041.0,23090.0,22901.25,23013.25,385319,188.75,-0.1713461517606318,True,True,23199.5,22870.75,328.75
2025-07-11,23011.75,23048.75,22831.5,22959.0,455728,217.25,-0.2357337620718547,True,True,23171.25,22852.0,319.25
2025-07-14,22860.75,23066.5,22803.0,23035.5,408577,263.5,0.3332026656213349,True,True,23028.75,22703.25,325.5
2025-07-15,23034.25,23222.75,22996.0,23056.75,519192,226.75,0.09224892014498831,True,True,23204.75,22892.0,312.75
2025-07-16,23018.75,23100.0,22835.5,23076.5,540335,264.5,0.08565821288777364,True,True,23182.25,22876.5,305.75
2025-07-17,23065.5,23279.75,23017.0,23251.0,436788,262.75,0.7561805299763913,True,True,23227.5,22923.25,304.25
2025-07-18,23261.25,23320.75,23169.5,23224.25,437304,151.25,-0.1150488151047235,True,True,23426.25,23112.5,313.75
2025-07-21,23232.5,23424.75,23203.75,23342.0,390105,221.0,0.5070131435891412,True,True,23397.5,23106.0,291.5
2025-07-22,23339.5,23367.0,23108.0,23226.25,530913,259.0,-0.4958872418815874,True,True,23511.0,23213.0,298.0
2025-07-23,23191.25,23418.0,23146.75,23310.75,508328,271.25,0.363812496636351,True,True,23360.25,23052.25,308.0
2025-07-24,23402.25,23424.5,23298.25,23377.5,430895,126.25,0.2863485730832283,True,True,23574.0,23259.75,314.25
2025-07-25,23391.5,23476.0,23330.75,23421.25,389934,145.25,0.1871457598117798,True,True,23563.25,23269.75,293.5
2025-07-28,23520.0,23585.25,23436.75,23491.25,419167,148.5,0.2988738858942241,True,True,23678.25,23398.25,280.0
2025-07-29,23504.25,23652.5,23421.25,23452.0,530800,231.25,-0.1670834885329597,True,True,23663.25,23387.5,275.75
